"k","PCA","FDA","SP"
1,7.6,13.1,11.8
2,27.3,30.5,19.2
3,39,48,13.8
4,47.3,56.7,22.3
5,57.8,67.5,18.5
6,71.6,70.8,25.6
7,72.3,72.8,29.8
8,73.9,77.2,28.8
9,77.8,81.2,32.4
10,80.4,79.2,32.1
11,84.8,84.6,34.4
12,83.9,82.6,36.5
13,87.3,82.5,36.3
14,87.1,85.7,40.2
15,87.5,87.1,44.4
16,89.3,88.8,37.5
17,90.4,88.8,34.9
18,90.8,89.5,34.4
19,91,91.2,37.8
20,88.7,88.8,33.1
21,91.8,91.2,39.8
22,93.5,90,41.8
23,92.8,89.6,39.8
24,92.5,89.4,40.1
25,91.6,88.9,38.6
26,91.8,88,38.8
27,93.1,88,38.8
28,93.3,87.9,44.3
29,93.6,85.1,44.9
30,94.6,88.1,45.9
31,95.1,86,49.3
32,93.4,89.4,48.8
33,93.9,89.7,48.1
34,94.4,89.7,50
35,95.5,88.8,49.9
36,95.3,88.4,50.5
37,94.7,89.2,50.9
38,94.7,89.2,53.7
39,95.9,92.7,53.5
40,96.6,91.4,52.2
